"readcode","medcode","recK","recK_ID","medcodeid.nealon","originalreadcode.nealon","snomedctconceptid","snomedctdescriptionid.nealon","recN","recN_ID","recLSHTM","recLSHTM_ID","recP","recP_ID","level","originalreadcode.ds","medcodeid.ds","recDS","recDS_ID","readterm","sctid","medcodeid.primis","originalreadcode.primis","readterm.emis","snomedctdescriptionid.primis","recPRIMIS","recPRIMIS_ID","recADD","source","medcodeid","originalreadcode_a","readcode_a","snomedctconceptid_a","snomedctdescriptionid_a","release_a","emiscodecategoryid_a","snomedctconceptid_clean","snomedctdescriptionid_clean","brand","havebrand"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL656923","3246911000006116","DS","79","FLU - Influenza vaccine",NA,NA,NA,NA,NA,NA,NA,NA,"DS","3246911000006116","^ESCTFL324691","","46233009","1230327015",NA,"31","46233009","1230327015","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL324691","6569231000006116","DS","80","FLU - Influenza vaccine",NA,NA,NA,NA,NA,NA,NA,NA,"DS","6569231000006116","^ESCTFL656923","","396425006","1785575018",NA,"31","396425006","1785575018","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL324691","3246911000006116","DS","81","FLU - Influenza vaccine",NA,NA,NA,NA,NA,NA,NA,NA,"DS","3246911000006116","^ESCTFL324691","","46233009","1230327015",NA,"31","46233009","1230327015","","0"
"9OX..11","12104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9OX-1","17131000000110","DS","82","Flu vaccination administration",NA,NA,NA,NA,NA,NA,NA,NA,"DS","17131000000110","9OX-1","9OX..11","714801000000104","1567091000000111",NA,"9","714801000000104","1567091000000111","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL796841","7968411000006111","DS","83","Flu vaccine needed",NA,NA,NA,NA,NA,NA,NA,NA,"DS","7968411000006111","^ESCTFL796841","","1411000119106","2916921019",NA,"9","1411000119106","2916921019","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1172538","2392831000033110","DS","84","Fluad",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2392831000033110",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1172538","105286301000001117","DS","85","Fluad",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105286301000001117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA127090NEMIS","2392831000033110","DS","86","Fluad",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2392831000033110",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA127090NEMIS","105286301000001117","DS","87","Fluad",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105286301000001117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173898","12678801000006117","DS","88","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678801000006117","105278601000001116","","34783811000001108","105278601000001116",NA,"31","34783811000001108","105278601000001116","Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173898","105278601000001116","DS","89","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105278601000001116","^ESCT1173898","","34783811000001108","105278601000001116",NA,"31","34783811000001108","105278601000001116","Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267880","12678801000006117","DS","90","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678801000006117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267880","105278601000001116","DS","91","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105278601000001116","^ESCT1173898","","34783811000001108","105278601000001116",NA,"31","34783811000001108","105278601000001116","Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173899","12678811000006119","DS","92","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678811000006119",NA,NA,NA,NA,NA,NA,"37514811000001102",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173899","105283801000001117","DS","93","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105283801000001117",NA,NA,NA,NA,NA,NA,"37514811000001102",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267881","12678811000006119","DS","94","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678811000006119",NA,NA,NA,NA,NA,NA,"37514811000001102",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267881","105283801000001117","DS","95","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105283801000001117",NA,NA,NA,NA,NA,NA,"37514811000001102",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267882","12678821000006110","DS","96","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678821000006110",NA,NA,NA,NA,NA,NA,"37514911000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267882","105284001000001114","DS","97","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105284001000001114",NA,NA,NA,NA,NA,NA,"37514911000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173900","12678821000006110","DS","98","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678821000006110",NA,NA,NA,NA,NA,NA,"37514911000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1173900","105284001000001114","DS","99","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","105284001000001114",NA,NA,NA,NA,NA,NA,"37514911000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL919684","9196841000006117","DS","100","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9196841000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL919684","9423851000006115","DS","101","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9423851000006115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL919684","449831000033115","DS","102","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","449831000033115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA5391EMIS","9196841000006117","DS","103","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9196841000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA5391EMIS","9423851000006115","DS","104","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9423851000006115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA5391EMIS","449831000033115","DS","105","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","449831000033115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL942385","9196841000006117","DS","106","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9196841000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL942385","9423851000006115","DS","107","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9423851000006115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL942385","449831000033115","DS","108","Fluarix",NA,NA,NA,NA,NA,NA,NA,NA,"DS","449831000033115",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA82447NEMIS","2033131000033118","DS","109","Fluarix Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2033131000033118",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA82447NEMIS","9423831000006110","DS","110","Fluarix Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9423831000006110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL942383","2033131000033118","DS","111","Fluarix Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2033131000033118",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL942383","9423831000006110","DS","112","Fluarix Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9423831000006110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1049909","10499091000006111","DS","113","Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10499091000006111",NA,NA,NA,NA,NA,NA,NA,NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1074016","10740161000006110","DS","114","Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10740161000006110",NA,NA,NA,NA,NA,NA,"25256511000001107",NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1049910","10499101000006117","DS","115","Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10499101000006117",NA,NA,NA,NA,NA,NA,"22704411000001102",NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860395","8603951000006116","DS","116","Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8603951000006116",NA,NA,NA,NA,NA,NA,NA,NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860398","8603981000006112","DS","117","Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8603981000006112",NA,NA,NA,NA,NA,NA,"3246211000001102",NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860400","8604001000006118","DS","118","Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604001000006118",NA,NA,NA,NA,NA,NA,"3246411000001103",NA,"GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA130396NEMIS","12510571000006111","DS","119","Flucelvax Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12510571000006111",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA130396NEMIS","2426431000033113","DS","120","Flucelvax Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2426431000033113",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1251057","12510571000006111","DS","121","Flucelvax Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12510571000006111",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1251057","2426431000033113","DS","122","Flucelvax Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2426431000033113",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1254465","12544651000006116","DS","123","Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12544651000006116",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1254474","12544741000006112","DS","124","Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12544741000006112",NA,NA,NA,NA,NA,NA,"36510911000001101",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1254466","12544661000006119","DS","125","Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12544661000006119",NA,NA,NA,NA,NA,NA,"36509111000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL947499","9474991000006117","DS","126","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9474991000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL947499","1333031000033117","DS","127","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1333031000033117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL947499","9360721000006114","DS","128","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9360721000006114",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA52409NEMIS","9474991000006117","DS","129","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9474991000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA52409NEMIS","1333031000033117","DS","130","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1333031000033117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA52409NEMIS","9360721000006114","DS","131","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9360721000006114",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL936072","9474991000006117","DS","132","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9474991000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL936072","1333031000033117","DS","133","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1333031000033117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL936072","9360721000006114","DS","134","Fluenz",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9360721000006114",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1091900","10919001000006118","DS","135","Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10919001000006118",NA,NA,NA,NA,NA,NA,NA,NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1091901","10919011000006115","DS","136","Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd) 10 unit dose",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10919011000006115",NA,NA,NA,NA,NA,NA,"27114311000001102",NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1023449","10234491000006110","DS","137","Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10234491000006110",NA,NA,NA,NA,NA,NA,NA,NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1023610","10236101000006117","DS","138","Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd) 10 unit dose",NA,NA,NA,NA,NA,NA,NA,NA,"DS","10236101000006117",NA,NA,NA,NA,NA,NA,"19840411000001105",NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA105395NEMIS","2201531000033113","DS","139","Flumist Quadrivalent",NA,NA,NA,NA,NA,NA,NA,NA,"DS","2201531000033113",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL951942","9519421000006114","DS","140","FluMist Quadrivalent",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9519421000006114",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1127766","11277661000006115","DS","141","FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11277661000006115",NA,NA,NA,NA,NA,NA,NA,NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL1127767","11277671000006110","DS","142","FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd) 10 unit dose",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11277671000006110",NA,NA,NA,NA,NA,NA,"30935811000001107",NA,"AstraZeneca UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL918226","9182261000006117","DS","143","Fluvirin",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9182261000006117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL918226","533231000033111","DS","144","Fluvirin",NA,NA,NA,NA,NA,NA,NA,NA,"DS","533231000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA6218BRIDL","9182261000006117","DS","145","Fluvirin",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9182261000006117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA6218BRIDL","533231000033111","DS","146","Fluvirin",NA,NA,NA,NA,NA,NA,NA,NA,"DS","533231000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860422","8604221000006119","DS","147","Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604221000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860430","8604301000006116","DS","148","Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604301000006116",NA,NA,NA,NA,NA,NA,"3251011000001102",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL860432","8604321000006114","DS","149","Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604321000006114",NA,NA,NA,NA,NA,NA,"3251211000001107",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA4664EMIS","383331000033111","DS","150","Fluzone",NA,NA,NA,NA,NA,NA,NA,NA,"DS","383331000033111",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EMISNQGS15","1857041000006115","DS","151","GSK Flu D-QIV vaccination given",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1857041000006115","EMISNQGS15","","1857041000006104","1857041000006115",NA,"37","1857041000006104","1857041000006115","GlaxoSmithKline UK Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTHA473950","4739501000006112","DS","154","Has influenza vaccination at home",NA,NA,NA,NA,NA,NA,NA,NA,"DS","4739501000006112","^ESCTHA473950","","185900003","285857010",NA,"9","185900003","285857010","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTHA473952","4739521000006119","DS","156","Has influenza vaccination at surgery",NA,NA,NA,NA,NA,NA,NA,NA,"DS","4739521000006119","^ESCTHA473952","","185901004","285860015",NA,"9","185901004","285860015","","0"
"2J63.00","101340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H1N1","2J63","1560361000000115","DS","158","High priority for influenza A subtype H1N1 vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1560361000000115","2J63","2J63.00","711831000000107","1560361000000115",NA,"9","711831000000107","1560361000000115","","0"
"14b3.00","100799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14b3","1136091000000113","DS","159","History of influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1136091000000113","14b3","14b3.00","473169009","2955980010",NA,"9","473169009","2955980010","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA22975NEMIS","9181511000006110","DS","160","Imuvac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9181511000006110",NA,NA,NA,NA,NA,NA,NA,NA,"Viatris UK Healthcare Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA22975NEMIS","1022531000033116","DS","161","Imuvac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1022531000033116",NA,NA,NA,NA,NA,NA,NA,NA,"Viatris UK Healthcare Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTIM918151","9181511000006110","DS","162","Imuvac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9181511000006110",NA,NA,NA,NA,NA,NA,NA,NA,"Viatris UK Healthcare Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTIM918151","1022531000033116","DS","163","Imuvac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1022531000033116",NA,NA,NA,NA,NA,NA,NA,NA,"Viatris UK Healthcare Ltd","1"
